,gas_fuel_flow,hpc_eta,ngp,npt
2018-08-13 03:48:03+00:00,4639.59,0.79,85.42,81.88
2018-08-13 03:48:33+00:00,4643.05,0.79,85.5,81.97
2018-08-13 03:49:03+00:00,4644.28,0.79,85.52,82.09
2018-08-13 03:49:33+00:00,4643.5,0.79,85.52,82.04
2018-08-13 03:50:03+00:00,4642.19,0.79,85.48,81.97
2018-08-13 03:50:33+00:00,4645.34,0.79,85.54,81.98
2018-08-13 03:51:03+00:00,4647.17,0.79,85.58,82.06
2018-08-13 03:51:33+00:00,4648.66,0.79,85.6,81.89
2018-08-13 03:52:03+00:00,4649.28,0.79,85.64,82.02
2018-08-13 03:52:33+00:00,4651.42,0.79,85.66,82.03
2018-08-13 03:53:03+00:00,4651.91,0.79,85.66,82.09
2018-08-13 03:53:33+00:00,4650.16,0.79,85.62,81.95
2018-08-13 03:54:03+00:00,4653.02,0.79,85.68,82.02
2018-08-13 03:54:33+00:00,4653.1,0.79,85.68,81.99
2018-08-13 03:55:03+00:00,4655.14,0.79,85.72,81.96
2018-08-13 03:55:33+00:00,4655.71,0.79,85.74,82.07
2018-08-13 03:56:03+00:00,4658.17,0.79,85.76,81.87
2018-08-13 03:56:33+00:00,4656.0,0.79,85.72,81.9
2018-08-13 03:57:03+00:00,4656.94,0.79,85.76,82.04
2018-08-13 03:57:33+00:00,4659.55,0.79,85.8,82.01
2018-08-13 03:58:03+00:00,4662.24,0.79,85.84,81.88
2018-08-13 03:58:33+00:00,4661.27,0.79,85.84,81.9
2018-08-13 03:59:03+00:00,4660.71,0.79,85.82,82.15
2018-08-13 03:59:33+00:00,4663.56,0.79,85.88,82.02
2018-08-13 04:00:03+00:00,4663.91,0.79,85.88,82.0
2018-08-13 04:00:33+00:00,4563.0,0.79,84.02,81.95
2018-08-13 04:01:03+00:00,4564.39,0.79,84.04,81.91
2018-08-13 04:01:33+00:00,4569.59,0.79,84.14,82.2
2018-08-13 04:02:03+00:00,4567.01,0.79,84.1,81.96
2018-08-13 04:02:33+00:00,4566.02,0.79,84.1,82.27
2018-08-13 04:03:03+00:00,4565.99,0.79,84.08,82.02
2018-08-13 04:03:33+00:00,4572.24,0.79,84.2,82.09
2018-08-13 04:04:03+00:00,4571.52,0.79,84.16,81.92
2018-08-13 04:04:33+00:00,4571.66,0.79,84.18,81.85
2018-08-13 04:05:03+00:00,4571.0,0.79,84.18,81.94
2018-08-13 04:05:33+00:00,4572.14,0.79,84.18,81.91
2018-08-13 04:06:03+00:00,4576.85,0.79,84.26,82.04
2018-08-13 04:06:33+00:00,4574.28,0.79,84.24,82.06
2018-08-13 04:07:03+00:00,4575.84,0.79,84.24,82.06
2018-08-13 04:07:33+00:00,4578.71,0.79,84.32,82.06
2018-08-13 04:08:03+00:00,4579.88,0.79,84.36,82.08
2018-08-13 04:08:33+00:00,4579.59,0.79,84.34,81.87
2018-08-13 04:09:03+00:00,4580.43,0.79,84.34,82.02
2018-08-13 04:09:33+00:00,4582.0,0.79,84.36,81.91
2018-08-13 04:10:03+00:00,4582.05,0.79,84.36,81.93
2018-08-13 04:10:33+00:00,4583.06,0.79,84.42,82.14
2018-08-13 04:11:03+00:00,4582.34,0.79,84.36,82.0
2018-08-13 04:11:33+00:00,4588.59,0.79,84.5,82.08
2018-08-13 04:12:03+00:00,4588.32,0.79,84.48,82.08
2018-08-13 04:12:33+00:00,4586.77,0.79,84.44,81.83
2018-08-13 04:13:03+00:00,4589.27,0.79,84.5,82.1
2018-08-13 04:13:33+00:00,4588.5,0.79,84.5,81.92
2018-08-13 04:14:03+00:00,4589.96,0.79,84.52,81.9
